name,team,minutes_any,minutes_60,goals,assists,id_2026
Brenden Aaronson,Leeds United,46,43,9,2,350
Thelo Aasgaard,Luton Town,17,17,2,1,NA
James Abankwah,Watford,19,17,0,0,NA
Salis Abdul Samed,Sunderland,10,3,0,0,NA
Azeem Abdulai,Swansea City,17,2,1,0,NA
Ebou Adams,Derby County,44,42,6,1,NA
Elijah Adebayo,Luton Town,39,31,5,0,NA
Michael Adu-Poku,Watford,1,0,0,0,NA
Enock Agyei,Burnley,3,0,0,0,203
Anel Ahmedhodžić,Sheffield Utd,38,35,3,1,NA
Semi Ajayi,West Brom,15,14,0,0,NA
Milan Aleksić,Sunderland,8,3,0,0,546
Ajibola Alese,Sunderland,12,8,0,0,NA
Jamie Allen,Coventry City,21,12,0,0,NA
Joe Allen,Swansea City,25,8,1,1,NA
Millenic Alli,Luton Town,16,6,4,0,NA
Jak Alnwick,Cardiff City,29,29,0,0,NA
Will Alves,Cardiff City,14,8,1,3,NA
Steven Alzate,Hull City,28,21,0,1,NA
Zeki Amdouni,Burnley,2,0,1,0,216
Ethan Ampadu,Leeds United,29,26,0,0,354
Nordin Amrabat,Hull City,10,2,0,1,NA
Lucas Andersen,QPR,33,13,2,0,NA
Joe Anderson,Sunderland,2,1,0,0,534
Ryan Andrews,Watford,38,21,3,2,NA
Jaidon Anthony,Burnley,43,42,8,7,200
Adil Aouchiche,Portsmouth,12,9,1,1,NA
Adil Aouchiche,Sunderland,8,3,0,1,NA
Oliver Arblaster,Sheffield Utd,12,11,2,1,NA
Jordan Archer,Portsmouth,2,1,0,0,NA
Adam Armstrong,West Brom,16,12,3,0,NA
Harrison Armstrong,Derby County,15,12,1,0,305
Sinclair Armstrong,Bristol City,36,17,3,0,NA
Stuart Armstrong,Sheffield Weds,11,6,0,1,NA
Harrison Ashby,QPR,29,17,0,1,482
Cian Ashford,Cardiff City,28,17,2,3,NA
Robert Atkinson,Portsmouth,14,13,2,1,NA
Luke Ayling,Middlesbrough,26,23,0,2,NA
Finn Azaz,Middlesbrough,45,43,12,11,NA
Femi Azeez,Millwall,34,21,2,5,NA
Kwadwo Baah,Watford,27,16,4,3,NA
Daniel Bachmann,Watford,22,22,0,0,NA
Joel Bagan,Cardiff City,31,17,0,1,NA
Michael Baidoo,Plymouth Argyle,11,4,0,0,NA
Lewis Baker,Stoke City,19,16,6,2,NA
Lewis Baker,Blackburn,13,7,1,0,NA
Daniel Ballard,Sunderland,20,12,2,1,531
Patrick Bamford,Leeds United,17,0,0,0,363
Raees Bangura-Williams,Millwall,10,7,0,3,NA
Tamer Bani Odeh,West Brom,4,0,0,1,NA
Barry Bannan,Sheffield Weds,41,40,4,5,NA
Jamal Baptiste,Sheffield Utd,1,0,0,0,NA
Shandon Baptiste,Luton Town,16,7,1,0,NA
Tom Barkhuizen,Derby County,19,2,0,0,NA
Daniel Barlaser,Middlesbrough,23,12,1,1,NA
Ashley Barnes,Norwich City,8,1,0,0,218
Ashley Barnes,Burnley,13,1,1,1,218
Louie Barry,Hull City,4,2,0,0,NA
Kyle Bartley,West Brom,31,30,0,0,NA
Norman Bassette,Coventry City,25,11,2,0,NA
Danny Batth,Blackburn,37,34,2,0,NA
Patrick Bauer,Preston,1,0,0,0,NA
Vakoun Bayo,Watford,41,25,10,0,NA
James Beadle,Sheffield Weds,38,38,0,0,NA
Owen Beck,Blackburn,24,21,1,0,NA
Chris Bedia,Hull City,21,9,3,0,NA
Amari'i Bell,Luton Town,31,31,0,0,NA
Sam Bell,Bristol City,20,0,0,0,NA
Jobe Bellingham,Sunderland,40,39,4,3,NA
Bachir Belloumi,Hull City,10,10,2,2,NA
Anis Ben Slimane,Norwich City,33,25,2,2,NA
Anis Ben Slimane,Sheffield Utd,3,0,0,0,NA
Joe Bennett,Oxford United,12,8,0,0,NA
Daniel Bennie,QPR,12,1,0,0,NA
Jóhann Berg Guðmundsson,Burnley,1,0,1,0,NA
Di'Shon Bernard,Sheffield Weds,27,26,2,0,NA
Kian Best,Preston,1,0,0,0,NA
Florian Bianchini,Swansea City,36,8,3,0,NA
Jake Bidwell,Coventry City,29,23,1,1,NA
Luis Binks,Coventry City,22,21,0,1,NA
Max Bird,Bristol City,46,43,1,8,NA
Colby Bishop,Portsmouth,32,31,11,3,NA
Billy Blacker,Sheffield Utd,1,0,0,0,NA
Corey Blackett-Taylor,Derby County,12,4,1,0,NA
Harvey Blair,Portsmouth,12,3,1,0,NA
Malachi Boateng,Plymouth Argyle,7,1,0,0,NA
Eric Bocat,Stoke City,30,23,0,1,NA
Jayden Bogle,Leeds United,44,44,6,4,342
Jonathan Bond,Watford,9,8,0,0,NA
Neto Borges,Middlesbrough,35,34,1,3,NA
Raphael Borges Rodrigues,Coventry City,3,0,0,0,NA
Josh Bowler,Preston,10,6,0,0,NA
Josh Bowler,Luton Town,8,0,0,0,NA
Sonny Bradley,Derby County,7,3,0,0,NA
Tom Bradshaw,Oxford United,11,4,0,0,NA
Tom Bradshaw,Millwall,11,4,1,0,NA
Robbie Brady,Preston,29,17,0,4,NA
Cohen Bramall,Portsmouth,12,4,0,0,NA
Cameron Brannagan,Oxford United,33,33,3,4,NA
Ben Brereton,Sheffield Utd,17,13,4,3,NA
Rhian Brewster,Sheffield Utd,36,16,4,3,NA
Callum Brittain,Blackburn,33,30,2,5,NA
Andre Brooks,Sheffield Utd,22,10,3,2,NA
Ciaron Brown,Oxford United,41,41,4,3,NA
Dajaune Brown,Derby County,15,3,1,0,NA
Jacob Brown,Luton Town,29,11,4,1,NA
Alan Browne,Sunderland,22,13,1,0,555
Josh Brownhill,Burnley,42,39,18,6,NA
Joe Bryan,Millwall,39,37,1,1,NA
Solomon Brynn,Middlesbrough,6,6,0,0,NA
John Buckley,Blackburn,23,8,0,0,NA
Mustapha Bundu,Plymouth Argyle,37,27,10,6,NA
Wouter Burger,Stoke City,39,37,1,1,NA
Delano Burgzorg,Middlesbrough,42,23,5,2,NA
Reece Burke,Luton Town,17,10,0,0,NA
Finley Burns,Hull City,9,4,0,0,NA
Harrison Burrows,Sheffield Utd,43,39,5,3,NA
Mason Burstow,Hull City,31,8,2,1,NA
Sam Byram,Leeds United,36,16,1,1,346
Ben Cabango,Swansea City,45,45,2,1,NA
Tyrese Campbell,Sheffield Utd,33,20,10,1,NA
Thomas Cannon,Stoke City,22,22,9,1,NA
Thomas Cannon,Sheffield Utd,15,7,1,1,NA
Todd Cantwell,Blackburn,37,27,3,7,NA
