can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
TRUE,TRUE,NA,NA,154561,0,0,4,-4,1,1,5.3,5.3,1,David,4.3,1,FALSE,,NA,59,154561.jpg,4.8,FALSE,Raya Martín,32.1,FALSE,NA,a,1,3,53,2352191,78410,932180,76281,0.7,9.0,Raya,200,2024-07-04,1995-09-15,FALSE,p154561,990,0,0,7,5,0,0,0,1,0,16,3,210,159.8,10.2,0.0,17.0,9,87,0,0,11,0.00,0.04,0.04,6.17,116,15,346,3,739,86,250,16,NA,,NA,,NA,,0,1.45,0,0,0.56,0.45,94,1,73,6,39,2,8,2,1,0.64,0
TRUE,TRUE,NA,NA,109745,0,0,-3,3,0,1,1.0,1.0,0,Kepa,0.0,2,FALSE,,NA,42,109745.jpg,0.0,FALSE,Arrizabalaga Revuelta,0.4,FALSE,NA,a,1,3,0,8266,399,61346,1585,0.0,0.0,Arrizabalaga,200,2025-07-01,1994-10-03,FALSE,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,553,76,538,62,506,49,554,76,NA,,NA,,NA,,0,0,0,0,0,0,608,38,487,68,559,75,250,34,0,0,0
TRUE,FALSE,0,0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,FALSE,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,FALSE,Hein,0.3,FALSE,NA,u,1,3,0,5545,0,41118,895,0.0,0.0,Hein,67,2020-10-28,2002-04-13,FALSE,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,518,64,503,50,470,37,519,64,NA,,NA,,NA,,0,0,0,0,0,0,649,58,449,56,525,63,328,47,0,0,0
TRUE,TRUE,NA,NA,551221,0,0,0,0,0,1,1.0,1.0,0,Tommy,0.0,4,FALSE,,NA,40,551221.jpg,0.0,FALSE,Setford,0.2,FALSE,NA,a,1,3,0,15973,403,17359,772,0.0,0.0,Setford,241,2024-07-24,2006-03-13,FALSE,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,534,72,519,58,487,45,535,72,NA,,NA,,NA,,0,0,0,0,0,0,671,66,467,64,541,71,361,54,0,0,0
TRUE,TRUE,0,100,226597,-1,1,5,-5,3,2,0.0,8.3,1,Gabriel,7.3,5,TRUE,Thigh injury - Unknown return date,2025-11-17T12:00:07.436586Z,65,226597.jpg,7.4,FALSE,dos Santos Magalhães,30.2,FALSE,NA,i,1,3,81,3869594,95058,2471087,1584647,1.1,12.5,Gabriel,30,2020-09-01,1997-12-19,FALSE,p226597,990,1,2,7,5,0,0,0,1,0,0,13,279,318.6,62.6,88.0,46.9,88,15,12,100,11,0.82,0.69,1.51,6.17,8,3,175,43,113,16,54,10,NA,,NA,,NA,,0.07,0,0.06,0.13,0.56,0.45,56,1,6,2,2,1,10,3,1,0.64,9.09
TRUE,TRUE,100,100,462424,0,0,0,0,0,2,3.7,3.7,1,William,2.7,6,FALSE,,2025-10-28T21:00:08.018508Z,60,462424.jpg,3.9,FALSE,Saliba,12.5,FALSE,NA,a,1,3,39,890163,131488,1321885,29608,0.4,6.5,Saliba,73,2019-07-25,2001-03-24,FALSE,p462424,724,0,0,5,3,0,0,0,0,0,0,1,178,169.6,34.1,16.0,22.0,47,32,10,57,9,0.29,0.23,0.52,4.65,105,47,250,75,296,92,212,67,NA,,NA,,NA,,0.04,0,0.03,0.07,0.58,0.37,89,5,151,52,87,36,34,11,1.12,0.62,7.09
TRUE,TRUE,75,NA,466075,0,0,3,-3,2,2,4.0,5.3,1,Riccardo,4.3,7,TRUE,Hip injury - 75% chance of playing,2025-11-17T12:30:07.209393Z,58,466075.jpg,5.5,FALSE,Calafiori,14.7,FALSE,NA,d,1,3,61,2149679,42792,852882,183233,0.7,10.5,Calafiori,106,2024-07-29,2002-05-19,FALSE,p466075,856,1,2,7,5,0,0,0,3,0,0,3,213,150.0,89.3,181.0,41.9,34,42,13,47,11,2.24,0.25,2.49,4.80,131,57,125,26,34,2,73,17,NA,,NA,,NA,,0.24,0,0.03,0.27,0.5,0.53,111,8,72,22,16,11,27,10,1.16,0.74,4.94
TRUE,TRUE,NA,NA,445122,1,-1,7,-7,2,2,5.3,5.3,1,Jurriën,4.3,8,TRUE,,NA,62,445122.jpg,6.1,FALSE,Timber,29.2,FALSE,NA,a,1,3,67,3617129,500483,673882,82478,0.7,10.8,J.Timber,152,2023-07-14,2001-06-17,FALSE,p445122,881,2,2,6,5,0,0,0,2,0,0,7,257,238.0,179.1,216.0,63.5,27,33,34,61,10,2.08,0.64,2.72,5.07,42,17,44,8,25,1,22,1,NA,,NA,,NA,,0.21,0,0.07,0.28,0.52,0.51,79,2,74,23,6,4,11,4,1.02,0.61,6.23
TRUE,FALSE,0,0,440854,0,0,-1,1,0,2,0.0,0.0,0,Jakub,0.0,9,FALSE,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,FALSE,Kiwior,0.1,FALSE,NA,u,1,3,0,1119,0,10543,85,0.0,0.0,Kiwior,172,2023-01-23,2000-02-15,FALSE,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,731,249,730,249,725,247,731,249,NA,,NA,,NA,,0,0,0,0,0,0,173,20,710,245,731,249,564,203,0,0,0
TRUE,TRUE,NA,NA,499169,-1,1,-4,4,0,2,1.7,1.7,0,Myles,0.7,10,FALSE,,NA,51,499169.jpg,0.9,FALSE,Lewis-Skelly,1.6,FALSE,NA,a,1,3,6,54195,3037,361483,6874,0.1,1.2,Lewis-Skelly,241,2022-12-04,2006-09-26,FALSE,p499169,86,0,0,0,0,0,0,0,1,0,0,0,19,9.8,7.2,4.0,2.0,4,7,1,5,0,0.00,0.00,0.00,0.99,391,144,361,124,364,132,403,141,NA,,NA,,NA,,0,0,0,0,1.04,0,234,35,298,98,434,145,141,56,0,0,5.23
