code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2561895,1,FALSE,FALSE,1,2025-08-15T19:00:00Z,0,FALSE,FALSE,4,NA,12,NA,,3,5,124791
2561896,1,FALSE,FALSE,2,2025-08-16T11:30:00Z,0,FALSE,FALSE,15,NA,2,NA,,3,4,124792
2561897,1,FALSE,FALSE,3,2025-08-16T14:00:00Z,0,FALSE,FALSE,10,NA,6,NA,,3,3,124793
2561900,1,FALSE,FALSE,6,2025-08-16T14:00:00Z,0,FALSE,FALSE,3,NA,18,NA,,2,3,124796
2561899,1,FALSE,FALSE,5,2025-08-16T14:00:00Z,0,FALSE,FALSE,19,NA,17,NA,,2,2,124795
2561901,1,FALSE,FALSE,7,2025-08-16T16:30:00Z,0,FALSE,FALSE,13,NA,20,NA,,4,3,124797
2561902,1,FALSE,FALSE,8,2025-08-17T13:00:00Z,0,FALSE,FALSE,8,NA,7,NA,,3,4,124798
2561898,1,FALSE,FALSE,4,2025-08-17T13:00:00Z,0,FALSE,FALSE,5,NA,16,NA,,3,3,124794
2561903,1,FALSE,FALSE,9,2025-08-17T15:30:00Z,0,FALSE,FALSE,1,NA,14,NA,,4,3,124799
2561904,1,FALSE,FALSE,10,2025-08-18T19:00:00Z,0,FALSE,FALSE,9,NA,11,NA,,2,2,124800
2561914,2,FALSE,FALSE,20,2025-08-22T19:00:00Z,0,FALSE,FALSE,7,NA,19,NA,,3,2,124810
2561912,2,FALSE,FALSE,18,2025-08-23T11:30:00Z,0,FALSE,FALSE,18,NA,13,NA,,3,4,124808
2561905,2,FALSE,FALSE,12,2025-08-23T14:00:00Z,0,FALSE,FALSE,20,NA,4,NA,,2,3,124802
2561907,2,FALSE,FALSE,13,2025-08-23T14:00:00Z,0,FALSE,FALSE,2,NA,5,NA,,3,3,124803
2561908,2,FALSE,FALSE,14,2025-08-23T14:00:00Z,0,FALSE,FALSE,17,NA,3,NA,,2,2,124804
2561906,2,FALSE,FALSE,11,2025-08-23T16:30:00Z,0,FALSE,FALSE,11,NA,1,NA,,2,4,124801
2561909,2,FALSE,FALSE,15,2025-08-24T13:00:00Z,0,FALSE,FALSE,16,NA,8,NA,,3,3,124805
2561910,2,FALSE,FALSE,16,2025-08-24T13:00:00Z,0,FALSE,FALSE,6,NA,9,NA,,3,3,124806
2561911,2,FALSE,FALSE,17,2025-08-24T15:30:00Z,0,FALSE,FALSE,14,NA,10,NA,,3,3,124807
2561913,2,FALSE,FALSE,19,2025-08-25T19:00:00Z,0,FALSE,FALSE,12,NA,15,NA,,4,4,124809
2561915,3,FALSE,FALSE,21,2025-08-29T19:00:00Z,0,FALSE,FALSE,8,NA,2,NA,,3,4,124811
2561917,3,FALSE,FALSE,23,2025-08-30T11:30:00Z,0,FALSE,FALSE,10,NA,7,NA,,3,4,124813
2561920,3,FALSE,FALSE,26,2025-08-30T14:00:00Z,0,FALSE,FALSE,3,NA,14,NA,,2,3,124816
2561923,3,FALSE,FALSE,29,2025-08-30T14:00:00Z,0,FALSE,FALSE,4,NA,18,NA,,3,3,124819
2561922,3,FALSE,FALSE,28,2025-08-30T14:00:00Z,0,FALSE,FALSE,5,NA,17,NA,,3,2,124818
2561924,3,FALSE,FALSE,30,2025-08-30T14:00:00Z,0,FALSE,FALSE,9,NA,20,NA,,2,3,124820
2561918,3,FALSE,FALSE,24,2025-08-30T16:30:00Z,0,FALSE,FALSE,15,NA,11,NA,,3,2,124814
2561916,3,FALSE,FALSE,22,2025-08-31T13:00:00Z,0,FALSE,FALSE,13,NA,6,NA,,4,3,124812
2561921,3,FALSE,FALSE,27,2025-08-31T13:00:00Z,0,FALSE,FALSE,19,NA,16,NA,,2,3,124817
2561919,3,FALSE,FALSE,25,2025-08-31T15:30:00Z,0,FALSE,FALSE,1,NA,12,NA,,4,5,124815
2561926,4,FALSE,FALSE,31,2025-09-13T14:00:00Z,0,FALSE,FALSE,16,NA,1,NA,,3,4,124821
2561925,4,FALSE,FALSE,32,2025-09-13T14:00:00Z,0,FALSE,FALSE,6,NA,4,NA,,3,3,124822
2561927,4,FALSE,FALSE,33,2025-09-13T14:00:00Z,0,FALSE,FALSE,7,NA,5,NA,,3,3,124823
2561928,4,FALSE,FALSE,34,2025-09-13T14:00:00Z,0,FALSE,FALSE,12,NA,3,NA,,4,2,124824
2561929,4,FALSE,FALSE,35,2025-09-13T14:00:00Z,0,FALSE,FALSE,17,NA,8,NA,,2,3,124825
2561930,4,FALSE,FALSE,36,2025-09-13T14:00:00Z,0,FALSE,FALSE,2,NA,9,NA,,3,3,124826
2561931,4,FALSE,FALSE,37,2025-09-13T14:00:00Z,0,FALSE,FALSE,11,NA,10,NA,,2,3,124827
2561932,4,FALSE,FALSE,38,2025-09-13T14:00:00Z,0,FALSE,FALSE,14,NA,13,NA,,3,4,124828
2561933,4,FALSE,FALSE,39,2025-09-13T14:00:00Z,0,FALSE,FALSE,20,NA,15,NA,,2,4,124829
2561934,4,FALSE,FALSE,40,2025-09-13T14:00:00Z,0,FALSE,FALSE,18,NA,19,NA,,3,2,124830
2561936,5,FALSE,FALSE,41,2025-09-20T14:00:00Z,0,FALSE,FALSE,13,NA,1,NA,,4,4,124831
2561935,5,FALSE,FALSE,42,2025-09-20T14:00:00Z,0,FALSE,FALSE,15,NA,4,NA,,3,3,124832
2561937,5,FALSE,FALSE,43,2025-09-20T14:00:00Z,0,FALSE,FALSE,18,NA,6,NA,,3,3,124833
2561938,5,FALSE,FALSE,44,2025-09-20T14:00:00Z,0,FALSE,FALSE,16,NA,3,NA,,3,2,124834
2561939,5,FALSE,FALSE,45,2025-09-20T14:00:00Z,0,FALSE,FALSE,5,NA,10,NA,,3,3,124835
2561940,5,FALSE,FALSE,46,2025-09-20T14:00:00Z,0,FALSE,FALSE,9,NA,12,NA,,2,5,124836
2561941,5,FALSE,FALSE,47,2025-09-20T14:00:00Z,0,FALSE,FALSE,7,NA,14,NA,,3,3,124837
2561942,5,FALSE,FALSE,48,2025-09-20T14:00:00Z,0,FALSE,FALSE,2,NA,17,NA,,3,2,124838
2561943,5,FALSE,FALSE,49,2025-09-20T14:00:00Z,0,FALSE,FALSE,8,NA,19,NA,,3,2,124839
2561944,5,FALSE,FALSE,50,2025-09-20T14:00:00Z,0,FALSE,FALSE,11,NA,20,NA,,2,3,124840
2561945,6,FALSE,FALSE,51,2025-09-27T14:00:00Z,0,FALSE,FALSE,10,NA,2,NA,,3,4,124841
2561946,6,FALSE,FALSE,52,2025-09-27T14:00:00Z,0,FALSE,FALSE,14,NA,5,NA,,3,3,124842
2561947,6,FALSE,FALSE,53,2025-09-27T14:00:00Z,0,FALSE,FALSE,6,NA,7,NA,,3,4,124843
2561948,6,FALSE,FALSE,54,2025-09-27T14:00:00Z,0,FALSE,FALSE,12,NA,8,NA,,4,3,124844
2561949,6,FALSE,FALSE,55,2025-09-27T14:00:00Z,0,FALSE,FALSE,19,NA,9,NA,,2,3,124845
2561950,6,FALSE,FALSE,56,2025-09-27T14:00:00Z,0,FALSE,FALSE,4,NA,11,NA,,3,2,124846
2561951,6,FALSE,FALSE,57,2025-09-27T14:00:00Z,0,FALSE,FALSE,3,NA,13,NA,,2,4,124847
2561952,6,FALSE,FALSE,58,2025-09-27T14:00:00Z,0,FALSE,FALSE,1,NA,15,NA,,4,4,124848
2561953,6,FALSE,FALSE,59,2025-09-27T14:00:00Z,0,FALSE,FALSE,17,NA,16,NA,,2,3,124849
2561954,6,FALSE,FALSE,60,2025-09-27T14:00:00Z,0,FALSE,FALSE,20,NA,18,NA,,2,3,124850
2561956,7,FALSE,FALSE,61,2025-10-04T14:00:00Z,0,FALSE,FALSE,19,NA,1,NA,,2,4,124851
2561957,7,FALSE,FALSE,62,2025-10-04T14:00:00Z,0,FALSE,FALSE,3,NA,2,NA,,2,4,124852
2561955,7,FALSE,FALSE,63,2025-10-04T14:00:00Z,0,FALSE,FALSE,10,NA,4,NA,,3,3,124853
2561958,7,FALSE,FALSE,64,2025-10-04T14:00:00Z,0,FALSE,FALSE,13,NA,5,NA,,4,3,124854
2561959,7,FALSE,FALSE,65,2025-10-04T14:00:00Z,0,FALSE,FALSE,12,NA,7,NA,,4,4,124855
2561960,7,FALSE,FALSE,66,2025-10-04T14:00:00Z,0,FALSE,FALSE,8,NA,9,NA,,3,3,124856
2561961,7,FALSE,FALSE,67,2025-10-04T14:00:00Z,0,FALSE,FALSE,18,NA,11,NA,,3,2,124857
2561962,7,FALSE,FALSE,68,2025-10-04T14:00:00Z,0,FALSE,FALSE,17,NA,14,NA,,2,3,124858
