name,id_2025,GW,kickoff_time,goals_scored,assists,minutes,team,id_2026
Alex Scott,77,1,2024-08-17T14:00:00Z,0,0,62,Bournemouth,90
Carlos Miguel dos Santos Pereira,427,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,503
Tomiyasu Takehiro,22,1,2024-08-17T14:00:00Z,0,0,0,Arsenal,NA
Malcolm Ebiowei,197,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,277
Ben Brereton Díaz,584,1,2024-08-17T14:00:00Z,0,0,70,Southampton,NA
Pau Torres,52,1,2024-08-17T16:30:00Z,0,0,90,Aston Villa,41
Joel Ward,215,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,NA
Will Lankshear,609,1,2024-08-19T19:00:00Z,0,0,0,Spurs,598
Hwang Hee-chan,550,1,2024-08-17T14:00:00Z,0,0,90,Wolves,642
Mikey Moore,610,1,2024-08-19T19:00:00Z,0,0,0,Spurs,592
Hákon Valdimarsson,109,1,2024-08-18T13:00:00Z,0,0,0,Brentford,105
Alex Paulsen,75,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,70
João Victor Gomes da Silva,553,1,2024-08-17T14:00:00Z,0,0,83,Wolves,646
Cole Palmer,182,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,235
Mitoma Kaoru,136,1,2024-08-17T14:00:00Z,1,0,88,Brighton,157
Boubakary Soumaré,285,1,2024-08-19T19:00:00Z,0,0,11,Leicester,NA
Chris Wood,447,1,2024-08-17T14:00:00Z,1,0,71,Nott'm Forest,525
Joe Worrall,448,1,2024-08-17T14:00:00Z,0,0,0,Nott'm Forest,199
Jeffrey Schlupp,214,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,NA
Milos Kerkez,70,1,2024-08-17T14:00:00Z,0,0,90,Bournemouth,371
Adrian Mazilu,133,1,2024-08-17T14:00:00Z,0,0,0,Brighton,176
Jason Steele,142,1,2024-08-17T14:00:00Z,0,0,90,Brighton,138
Arijanet Muric,568,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Carl Rushworth,615,1,2024-08-17T14:00:00Z,0,0,0,Brighton,141
Ibrahim Sangaré,442,1,2024-08-17T14:00:00Z,0,0,90,Nott'm Forest,521
Hannibal Mejbri,373,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,207
Brandon Austin,479,1,2024-08-19T19:00:00Z,0,0,0,Spurs,566
Conor Coady,288,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Wes Foderingham,522,1,2024-08-17T16:30:00Z,0,0,0,West Ham,601
Armando Broja,156,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,680
Adam Webster,147,1,2024-08-17T14:00:00Z,0,0,14,Brighton,153
Thomas Partey,20,1,2024-08-17T14:00:00Z,0,0,90,Arsenal,NA
Harry Wilson,259,1,2024-08-16T19:00:00Z,0,0,12,Fulham,329
Kasey McAteer,299,1,2024-08-19T19:00:00Z,0,0,4,Leicester,NA
Curtis Jones,324,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,388
Wes Burns,264,1,2024-08-17T11:30:00Z,0,0,56,Ipswich,NA
Yunus Emre Konak,97,1,2024-08-18T13:00:00Z,0,0,0,Brentford,131
Max Kilman,524,1,2024-08-17T16:30:00Z,0,0,90,West Ham,605
Deniz Undav,143,1,2024-08-17T14:00:00Z,0,0,0,Brighton,NA
Alex Murphy,390,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,481
George Edmundson,269,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Sávio 'Savinho' Moreira de Oliveira,571,1,2024-08-18T15:30:00Z,0,0,45,Man City,415
Emerson Palmieri dos Santos,520,1,2024-08-17T16:30:00Z,0,0,90,West Ham,604
Abdoulaye Doucouré,217,1,2024-08-17T14:00:00Z,0,0,62,Everton,NA
José Malheiro de Sá,554,1,2024-08-17T14:00:00Z,0,0,90,Wolves,628
Alexander Isak,401,1,2024-08-17T14:00:00Z,0,1,90,Newcastle,499
Yves Bissouma,482,1,2024-08-19T19:00:00Z,0,0,0,Spurs,587
Conor Gallagher,169,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,NA
Philip Billing,76,1,2024-08-17T14:00:00Z,0,0,6,Bournemouth,89
Gonçalo Manuel Ganchinho Guedes,548,1,2024-08-17T14:00:00Z,0,0,0,Wolves,647
Brajan Gruda,595,1,2024-08-17T14:00:00Z,0,0,0,Brighton,162
Rodrigo 'Rodri' Hernandez,360,1,2024-08-18T15:30:00Z,0,0,0,Man City,421
Đorđe Petrović,183,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,67
Craig Dawson,542,1,2024-08-17T14:00:00Z,0,0,6,Wolves,NA
Jordan Ayew,192,1,2024-08-18T13:00:00Z,0,0,20,Crystal Palace,NA
Marcos Senesi,79,1,2024-08-17T14:00:00Z,0,0,0,Bournemouth,72
Kiernan Dewsbury-Hall,166,1,2024-08-18T15:30:00Z,0,0,24,Chelsea,242
Kaine Kesler-Hayden,43,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,NA
João Cavaco Cancelo,353,1,2024-08-18T15:30:00Z,0,0,0,Man City,NA
Maxwel Cornet,515,1,2024-08-17T16:30:00Z,0,0,0,West Ham,617
Jefferson Lerma Solís,206,1,2024-08-18T13:00:00Z,0,0,16,Crystal Palace,272
Jannik Vestergaard,307,1,2024-08-19T19:00:00Z,0,0,90,Leicester,NA
Luke Thomas,305,1,2024-08-19T19:00:00Z,0,0,0,Leicester,NA
Bruno Borges Fernandes,366,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,449
Adam Smith,81,1,2024-08-17T14:00:00Z,0,0,62,Bournemouth,73
Miodrag Pivaš,574,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,483
Billy Gilmour,124,1,2024-08-17T14:00:00Z,0,0,8,Brighton,NA
Rasmus Højlund,375,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,465
Callum Wilson,421,1,2024-08-17T14:00:00Z,0,0,0,Newcastle,671
Crysencio Summerville,587,1,2024-08-17T16:30:00Z,0,0,17,West Ham,615
Jesurun Rak-Sakyi,213,1,2024-08-18T13:00:00Z,0,0,0,Crystal Palace,278
Oliver Skipp,501,1,2024-08-19T19:00:00Z,0,0,0,Spurs,NA
Tomáš Souček,530,1,2024-08-17T16:30:00Z,0,1,90,West Ham,613
Taylor Harwood-Bellis,461,1,2024-08-17T14:00:00Z,0,0,90,Southampton,NA
Alphonse Areola,513,1,2024-08-17T16:30:00Z,0,0,90,West Ham,600
Lisandro Martínez,380,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,437
Richarlison de Andrade,497,1,2024-08-19T19:00:00Z,0,0,1,Spurs,597
Joško Gvardiol,350,1,2024-08-18T15:30:00Z,0,0,90,Man City,403
Harry Clarke,266,1,2024-08-17T11:30:00Z,0,0,0,Ipswich,NA
Joachim Andersen,191,1,2024-08-18T13:00:00Z,0,0,90,Crystal Palace,317
Moisés Caicedo Corozo,157,1,2024-08-18T15:30:00Z,0,0,90,Chelsea,241
Carlos Henrique Casimiro,368,1,2024-08-16T19:00:00Z,0,0,90,Man Utd,457
Jhon Durán,38,1,2024-08-17T16:30:00Z,1,0,28,Aston Villa,NA
Jacob Murphy,402,1,2024-08-17T14:00:00Z,0,0,29,Newcastle,489
Sean Longstaff,410,1,2024-08-17T14:00:00Z,0,0,90,Newcastle,493
Leander Dendoncker,33,1,2024-08-17T16:30:00Z,0,0,0,Aston Villa,61
Trevoh Chalobah,159,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,226
Ryan Manning,467,1,2024-08-17T14:00:00Z,0,0,0,Southampton,NA
Vitalii Mykolenko,231,1,2024-08-17T14:00:00Z,0,0,90,Everton,292
Ryan Christie,63,1,2024-08-17T14:00:00Z,0,0,27,Bournemouth,87
Fábio Silva,545,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Kepa Arrizabalaga,152,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,2
Frank Onyeka,102,1,2024-08-18T13:00:00Z,0,0,6,Brentford,128
Youssef Ramalho Chermiti,237,1,2024-08-17T14:00:00Z,0,0,0,Everton,312
Morgan Gibbs-White,433,1,2024-08-17T14:00:00Z,0,0,90,Nott'm Forest,515
Noni Madueke,177,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,18
Nélson Cabral Semedo,559,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Tommy Doyle,544,1,2024-08-17T14:00:00Z,0,0,0,Wolves,NA
Tom Heaton,374,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,434
Lucas Bergvall,481,1,2024-08-19T19:00:00Z,0,0,12,Spurs,586
Lesley Ugochukwu,188,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,676
Evan Ferguson,123,1,2024-08-17T14:00:00Z,0,0,0,Brighton,179
Christian Eriksen,370,1,2024-08-16T19:00:00Z,0,0,0,Man Utd,NA
Danny Ings,523,1,2024-08-17T16:30:00Z,0,0,5,West Ham,NA
Jean-Ricner Bellegarde,535,1,2024-08-17T14:00:00Z,0,0,56,Wolves,644
Tim Ream,253,1,2024-08-16T19:00:00Z,0,0,0,Fulham,NA
Benoît Badiashile,153,1,2024-08-18T15:30:00Z,0,0,0,Chelsea,229
Radu Drăgușin,486,1,2024-08-19T19:00:00Z,0,0,0,Spurs,572
Jack Stephens,472,1,2024-08-17T14:00:00Z,0,0,90,Southampton,NA
Mateo Kovačić,354,1,2024-08-18T15:30:00Z,1,0,90,Man City,422
Nicolás Domínguez,431,1,2024-08-17T14:00:00Z,0,0,36,Nott'm Forest,519
Ben Doak,318,1,2024-08-17T11:30:00Z,0,0,0,Liverpool,NA
